"TICKET Id","TICKET Reference Id",Department,"Department Id","Nome Catena","Nome Catena Id","Nome CLIENTI","Nome CLIENTI Id",Email,Phone,Subject,Description,Status,"Nome Prodotto","Nome Prodotto Id","Proprietario TICKET","Proprietario TICKET Id","Created By","Created By Id","Modified By","Modified By Id","Created Time","Ora di chiusura TICKET","Modified Time","To Address","Due Date",Priority,Mode,"Is Overdue","Is Escalated",Classification,Resolution,Category,"Sub Category","Time to Respond",Team,"Team Id",Tags,"Tempo di attesa TICKET",Language,"URL 1","Gestito da","Reparto Aziendale","Da Fatturare","Matricola Interessata o Ritirata","Matricola Prestito d'Uso","Prodotto Interessato","Reparto Negozio","Durata Intervento","Mail Amministrazione","Chiamata dopo le 17","Chiamata nel Weekend","Già Fatturato","Fattura n°","Gestita da un Concessionario","Girato a CONCESSIONARIO","Child Ticket Count"
1447,85271000004062001,"DB Company",85271000000007061,"Break Point",85271000004061001,"Break Point",85271000004054013,BreakPoint@bar.dario,,"3 bilance + 1 testa per pesa, 2 casse rendiresto, e cercare sistema di centralizzazione dei 3 negozi","<div style=""font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div style=""font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>3 bilance + 1 testa per pesa, 2 casse rendiresto, e cercare sistema di centralizzazione dei 3 negozi<br></div><div><br></div><div>Approfondire MOJITO il gestionale attualmente in uso.<br></div><div><br></div><div>3900 gestionale bilance</div><div>&nbsp;&nbsp;<br></div></div><div><br></div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-08-09 10:34:17","2025-02-17 11:55:39","2025-02-17 11:55:39",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,Italian,,"Francesco Mancuso",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1462,85271000004129001,"DB Company",85271000000007061,BORELLO,85271000000144019,"BORELLO BALANGERO",85271000000160995,balangero@borellosrl.com,0123323427,"sostituire piatto rotto","<div style=""font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>sostituire piatto rotto<br></div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-08-29 07:45:28","2025-01-08 07:32:18","2025-01-08 07:32:18",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,Italian,,"Francesco Mancuso",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1493,85271000004244001,"DB Company",85271000000007061,BORELLO,85271000000144019,"BORELLO VIA CHIESA",85271000000168001,tochiesa@borellosrl.com,0112213289,"riportare la bilancia orto slave che è stata data in prestito a Leoni Laboratorio","<div style=""font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>riportare la bilancia orto slave che è stata data in prestito a Leoni Laboratorio<br></div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-09-16 09:31:59","2025-03-11 07:51:17","2025-03-11 07:51:17",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,Italian,,"Francesco Mancuso",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1494,85271000004247001,"DB Company",85271000000007061,LEONI,85271000000154394,"LEONI BACONE",85271000000154406,info@macellerialeoni.com,0229406652,"sostituire bilancia del laboratorio con bilancia del banco","<div style=""font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>sostituire bilancia del laboratorio con bilancia del banco&nbsp;<br></div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-09-16 11:02:24","2025-03-05 16:04:18","2025-03-05 16:04:18",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,Italian,,"Francesco Mancuso",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1552,85271000004422001,"DB Company",85271000000007061,,,"GOCCE DI CIOCCOLATO",85271000004421001,gocce@gocce.it,,"finire configurazione bilancia, passare giovedì in negozio","<div style=""font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>trovare alternativa al lotto globale per i testi delle torte, inserire data dell'ordine torte e possibilmente creare accesso a calendario consegne, ogni scontrino o ordine deve essere gestito per cliente, possibilità di inserire acconto sugli ordini, inserimento dell iva negli articoli e facilitazione gestione in cassa, inserire testi ""prova anche... sugli espresso in modo che compaiono nella riga scontrino, testi ingredienti sulle etichette, inserimento numero lotto nella tracciabilità da gestionale.</div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-10-25 08:29:45","2025-01-22 08:22:53","2025-01-22 08:22:53",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,Italian,,"Francesco Mancuso",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1583,85271000004514001,"DB Company",85271000000007061,BORELLO,85271000000144019,"BORELLO VIA ASTI",85271000000168523,toasti@borellosrl.com,011883523,"gastro master sballa il peso","<div style=""direction: ltr; font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>gastro master sballa il peso&nbsp;</div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-11-19 10:22:08","2025-03-11 07:51:13","2025-03-11 07:51:13",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,,,"Francesco Mancuso",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1602,85271000004562001,"DB Company",85271000000007061,BORELLO,85271000000144019,"BORELLO ROBASSOMERO",85271000000840557,robassomero@borello.it,,"Riportare Orto Slave","<div style=""direction: ltr; font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>Riportare Orto Slave</div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-11-28 14:19:27","2025-04-15 11:21:54","2025-04-15 11:21:54",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,,,"Enea Beheluli",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1611,85271000004581144,"DB Company",85271000000007061,COALVI,85271000000697549,"MACELLERIA MAGNETTI",85271000000160258,die636@live.it,0118980662,"Riportare 29099425 Master quando arriva e riprendere Nostra (ex michelini)","<div style=""direction: ltr; font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>Riportare 29099425 Master quando arriva e riprendere Nostra (ex michelini)</div></div>","CHIUSA ONSITE",,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-12-05 08:59:34","2025-01-10 07:13:50","2025-01-10 07:13:50",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,,,"Enea Beheluli",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1613,85271000004596001,"DB Company",85271000000007061,"CLIENTI VARI",85271000000673031,"CHE PANE",85271000004418001,chepane@pane.it,,"Riportare bilancia una volta arrivata da Dibalita, data in prestito borello robassomero orto slave","<div style=""direction: ltr; font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>Riportare bilancia una volta arrivata da Dibalita, data in prestito borello robassomero orto slave</div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-12-06 08:30:50","2025-04-15 11:21:50","2025-04-15 11:21:50",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,Italian,,"Enea Beheluli",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1623,85271000004630001,"DB Company",85271000000007061,COALVI,85271000000697549,"Bottega Rotes Kalb snc di Elisabetta Consol & C. Società Agricola",85271000000807234,amministrazione@roteskalb.it,,"Preparare etichetta bizerba con articoli nuovi per etichettare","<div style=""direction: ltr; font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>Preparare etichetta bizerba con articoli nuovi per etichettare</div></div>","CHIUSA ONSITE",,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-12-12 10:19:03","2025-03-31 07:24:09","2025-03-31 07:24:08",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,Italian,,"Enea Beheluli",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1624,85271000004631001,"DB Company",85271000000007061,"MACELLERIE VARIE",85271000000683624,"MACELLERIA MARCO E ELISA",85271000000802334,info@macelleriamarcoelisa.com,011/19855811,"Preparare bilancia con schermata per fatture e DDT","<div style=""direction: ltr; font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>Preparare bilancia con schermata per fatture e DDT</div></div>",CHIUSO,,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-12-12 10:21:06","2025-02-17 14:35:16","2025-02-17 14:35:16",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,Italian,,"Enea Beheluli",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
1629,85271000004653001,"DB Company",85271000000007061,COALVI,85271000000697549,"MACELLERIA TESTA PAOLO",85271000000802164,macelleriatesta1916@gmail.com,011.44.700.58,"Prestito D-900","<div style=""direction: ltr; font-size: 13px; font-family: Arial, Helvetica, sans-serif""><div>Prestito D-900</div></div>","CHIUSA ONSITE",,,DB,85271000000092001,DB,85271000000092001,DB,85271000000092001,"2024-12-17 16:01:36","2025-01-08 14:51:12","2025-01-08 14:51:12",,,BASSA,Phone,false,false,,,SOFTWARE,SOFTWARE,,,,,0,,,"Enea Beheluli",,false,,,,"Intero Negozio",,,false,false,false,,false,false,0
