"id_article","description","total_weight","total_amount"
6185,"TASCA RIPIENA BOVINO",2.766,38.44
6186,"ALI ALLA SICILIANA",0.304,2.4
6187,"POLLO ALLO SPIEDO",168,1232.2
6188,"1/2 POLLO ALLO SPIED",1013,4015.5
6189,"ROLATA POLLO ALLO SP",31.846,474.52
6190,"STRACCETI POLLO VERD",23.883,332.00
6191,"GROPPE POLLO",6.918,26.98
6193,"ALI AL BARBECUE",50.206,396.62
6194,"FUSI AL BARBECUE",16.297,145.04
6198,"ALI ALLA SOLARE",30.718,242.70
6199,"STRACCETTI BOV.IMPAN",0.414,6.58
6200,"CASTELLANE",22.128,276.77
6204,"ALI MARINATE ALLO SP",50.008,445.07
6205,"PATATE ALLO SPIEDO",148.621,1025.45
6208,"SPIEDINI DI POLLO",260.695,3197.18
6209,"SPIEDINI SUINO",1.819,21.65
6211,"CARRE` DI MAIALINO",20.886,352.99
6215,"TORTILLAS",15.796,203.78
6218,"HAMBURGER MISTI",75.052,1033.33
6220,"ROLATINE TACCHINO",35.982,500.17
6221,"ROLATA BOVINO AD. CO",2.338,32.50
6223,"POLPETTONE AI FUNGHI",2.250,26.77
6227,"POLPETTONE CON SPINA",1.342,15.97
6231,"POLPETTONE PROSC. FO",19.984,257.79
6232,"POLP.PROSC.FORMAG.PA",3.254,45.23
6235,"POLPETTINE",8.532,118.59
6239,"POLPETTINE DELLA NON",5.982,83.15
6240,"SALSICCIA PICCANTE",44.068,454.13
6242,"SALSICCIA CON FINOCC",147.986,1524.47
6246,"ARROSTO FIOCCO BA",15.470,230.50
6247,"TONDINO SPALLA BA",15.250,227.24
6251,"IMPANATE DI TACCHINO",24.618,291.91
6252,"IMPANATE DI SUINO",10.362,123.33
6253,"PETTO POLLO LANGHE",702.982,9771.42
6255,"FILETTO AL PEPE",1.126,16.78
6256,"ZUCCOTTO DI CROCCHET",2.448,29.31
6257,"SALSICCIA CONIGLIO",57.845,1035.40
6261,"COSTINE SAPORITE",14.505,158.11
6262,"VERZINI",148.987,1530.38
6264,"VERZINI SUINO CONDIT",14.646,159.64
6270,"ROLATA BOVINO RIPIEN",16.934,246.25
6271,"ROLATA BOVINO FRITTA",4.926,71.53
6273,"ROLATA TACCHINO FRIT",0.814,9.68
6274,"ROLATA TACCHINO",16.900,201.09
6275,"ROLATINA RIPIENA",0.51,7.09
6276,"COSCE POLLO LANGHE",448.806,3545.61
6279,"ALI POLLO LANGHE",150.076,780.40
6280,"FUSI POLLO RIPIENI",1.652,22.97
6283,"MEDAGLIONI SUINO BAR",1.234,15.92
6284,"SALSICCIA CON FRIARI",153.340,1671.47
6285,"SALSICCIA PAPRIKA/BI",2.090,22.78
6286,"SALSICCIA FONTINA AO",77.142,840.89
6287,"SALSICCIA PROVOLA/PO",2.056,22.40
6292,"ARROSTO ALLA TIROLES",1.038,14.43
6293,"ALI POLLO IMPANATE",0.1,0.79
6308,"STRACCETI POLLO LIMO",9.956,128.44
6309,"STRACC. TACCHINO LIM",0.714,10.63
6314,"STRACC.POLLO AGRUMI",3.832,44.22
6318,"HAMBURGER CON SPINAC",91.226,1268.09
6319,"SPIEDINI CUBANI",7.364,87.62
6320,"COSCIA AGNELLINO",1.447,31.69
6321,"SPALLA AGNELLINO",2.966,59.02
6322,"BISTECCHE AGNELLINO",0.954,23.75
6323,"CORATA AGNELLINO",2.752,24.50
6324,"TESTA AGNELLINO",14.072,35.22
6333,"MAIALINO MEDITERRANE",1.652,27.93
6336,"PIADA ALLA SALSICCIA",1.582,20.42
6339,"PORCHETTA",2.534,42.82
6352,"INVOLTINO DI ZUCCHIN",1.340,18.63
6357,"SALSICCIA DI BRA",247.565,4679.00
6369,"BOCC.BOV.PORRI RADIC",1.456,23.15
6371,"CAPOCOLLO MEDITERANN",0.574,6.25
6400,"COSTINE ARROSTITE",22.182,308.32
6401,"SPIEDINI ARROSTITI",28.929,402.15
6402,"POLPETTONE ARROSTITO",10.716,138.26
6403,"HAMBURGER ARROSTITI",24.760,319.40
6404,"COSCE POLLO COTTE",214.492,2338.08
6405,"SALSICCIA BACIATA BB",0.752,8.95
6420,"HAMBURGER DI CONIGLI",1.264,27.66
6422,"SALSICCIA S. COTTA",95.577,1328.59
6430,"BOMBETTE PUGLIESI",181.769,3563.92
6438,"SCAL.SUINO BOSCAIOLA",0.344,4.09
6449,"STRAC.CON. MEDITER.",0.346,6.54
6452,"LONZA AL VERDE",14.546,158.56
6453,"STRACCETTI POLLO COT",1.740,27.67
6454,"ROLATINE TACCHINO CO",6.436,95.93
6455,"ROLATINE CONIGLIO CO",2.384,66.51
6456,"SALSICCIA POLLO COTT",9.442,102.90
6460,"COSTATA CASTRATO",4.080,96.08
6461,"HAMBURGER CASTRATO",5.426,102.57
6465,"SALSICCIA CONIGLIO C",20.992,417.70
6467,"CARRE` AGNELLO COTTO",3.645,90.77
6468,"SALSICCIA AL PREZZEM",29.018,301.13
6470,"ROLATINE B.A. VALLCA",29.869,474.96
6473,"STRACCETTI MESSICANI",20.500,346.45
6474,"RUSTICHELLE PISTACCH",99.120,1377.85
6478,"SPIEDINI MOJITO",2.01,19.9
6479,"BURGER SPECK E PROVO",26.842,373.13
6487,"HAMBURGER RADICCHIO",0.938,13.04
6488,"STEAK BURGER B.A.",158.216,2357.43
6493,"CUBE ROLL B.A.",2.342,63
6496,"POLLO BUSTO LANGHE",20.348,160.75
6497,"PANCETTA S QUADRATA",3.416,30.40
6498,"BOLLITO BOV.AD. S/O",2.302,26.71
6502,"OSSOBUCHI VITELLO",7.376,146.79
6509,"POLLO ALLA CACCIATOR",11.948,166.09
6511,"BOCC.POLLO PIZZAIOLA",67.834,942.94
6514,"STRACC.BOVINO CARCIO",13.322,211.82
6523,"AGNELLO AL VERDE",2.822,44.87
6525,"SALAME ROSETTA BOREL",1.622,42.01
6526,"FILETTO DI SPALLA BO",26.812,457.64
6527,"DIAFRAMMA BOV.AD.",8.976,115.79
6529,"COSCIA ROTONDA VITEL",15.788,393.11
6530,"BOMBETTE PUGLIESI SU",31.756,631.95
6531,"SCAMONE CASTRATO BOV",3.744,93.23
6532,"COSCIA ROTONDA CASTR",1.086,29.21
6533,"BRUTTO E BUONO CASTR",4.258,84.74
6534,"ARR. VENA CASTRATO B",5.764,126.23
6535,"STINCO C/O CASTRATO",2.262,35.97
6540,"BOMBETTE SFIZ. PROVO",13.622,243.84
6542,"LONZA PRUGNE,FICHI,A",1.318,24.91
6543,"MINI PANETTONI",5.031,90.95
6549,"SALSICCIA PROVOLA E",11.964,142.36
6554,"SALAME ALBERELLO",1.988,45.52
6556,"CAPOCOLLOC/OSSOBARBE",0.506,4
6560,"CAPOCOLLO C/OSSO AL",0.004,0.03
6561,"BOCC.POLLO RADICCHIO",79.102,1090.92
6618,"HAMBURGER BOV.PARMIG",0.344,4.78
6656,"CAPOCOLLO S/OSSO",220.605,2329.53
6657,"SALSICCIA DI POLLO",76.709,751.13
6659,"SPEZZATINO BOSCAIOLA",25.034,330.99
6667,"FILETTO SUINO AROM.",0.402,5.99
6669,"POLENTINI",1.406,18.14
6675,"ROLATINA BOVINO",0.426,6.35
6677,"AGNELLO SARDO IGP",119.657,1673.01
6701,"FILETTO CASTRATO",1.603,63.97
6702,"BOLLITO C/OSSO CASTR",7.114,113.10
6704,"ARROSTO CASTRATO",4.539,94.87
6705,"ARR.COSCIA CASTRATO",3.510,80.38
6706,"COSCIA CASTRATO",6.224,142.53
6707,"TENERONE CASTRATO",3.022,63.17
6708,"SOTTOFILETTO CASTRAT",4.030,104.37
6709,"POLPA SCELTA CASTRAT",4.710,93.73
6713,"CARRE` AGNELLONE",11.574,288.18
6714,"ARROSTICINI AGNELLO",0.218,5.65
6717,"ARROSTICINI STUZZIKI",6.142,122.23
6720,"POLLO SPIEDO S/ANTIB",604,4639.6
6724,"ARROSTO VENA CASTR",1.554,29.37
6728,"MUSCOLO CASTRATO",7.920,157.64
6757,"PASTA DI SALSICCIA",1.939,20.35
6801,"FEGATINI CONIGLIO",0.380,3.76
6804,"STRAC.BOV.VERDURE",0.872,15.60
6805,"STRACCETTI MISTI",0.386,4.59
6811,"SVIZZERE BOVINO",0.358,4.98
